ImageFile,AnimateInanimate,ValenceScore,Rand,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_5.started,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Images/Flowers 6.jpg,2,5.9556,0.9522082233542238,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,32.62947733292822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.36156975000631064,32.25521016691346,None,32.25521016691346,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Flowers 9.jpg,2,5.9383,0.79021863287162,,,,,,,,,0,14,14,16,,,,,,,,,,,,,,,33.54070004192181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3866929580690339,33.1297017079778,None,33.1297017079778,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Lake 10.jpg,2,6.125,0.2984734891266426,,,,,,,,,0,15,15,4,,,,,,,,,,,,,,,34.45656133291777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.4081414579413831,34.04137858294416,None,34.04137858294416,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Frustrated pose 2.jpg,1,2.6481,0.04964889787021731,,,,,,,,,0,16,16,9,,,,,,,,,,,,,,,35.36590074992273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.3972564160358161,34.95398074993864,None,34.95398074993864,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Elephant 1.jpg,1,5.8272,0.04936767057029101,,,,,,,,,0,17,17,0,,,,,,,,,,,,,,,36.25014499993995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.3613579999655485,35.870760624995455,None,35.870760624995455,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Garbage dump 3.jpg,2,2.0219,0.24903094943803883,,,,,,,,,0,18,18,12,,,,,,,,,,,,,,,37.06318212498445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.2980798340868205,36.753271249937825,None,36.753271249937825,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Hangover 1.jpg,1,2.3921,0.26033231155499936,,,,,,,,,0,19,19,5,,,,,,,,,,,,,,,37.8636808329029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.274642665986903,37.570174749940634,None,37.570174749940634,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.36083349992987,None,space,1.4389764169463888,38.36083349992987,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Sad pose 4.jpg,1,2.8282,0.40245968533442955,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,41.31900395790581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1.4623889999929816,39.84395145799499,None,39.84395145799499,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Excited face 2.jpg,1,5.8009,0.8260034227404583,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,42.067971499986015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.2389719580532983,41.818194791907445,None,41.818194791907445,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Sleepy pose 1.jpg,1,2.603,0.943587941998371,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,42.77528366690967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.1876348330406472,42.57771437498741,None,42.57771437498741,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Wedding 6.jpg,1,6.0481,0.533854831214882,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,43.511075541959144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.22506399999838322,43.27435208298266,None,43.27435208298266,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Tornado 1.jpg,2,2.1274,0.8898286049774505,,,,,,,,,,,,,0,4,4,16,,,,,,,,,,,44.25379654194694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.22126875002868474,44.022760166903026,None,44.022760166903026,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Flowers 1.jpg,2,5.8142,0.854176312029122,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,44.98216487490572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.21743170905392617,44.751503707957454,None,44.751503707957454,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Dog 18.jpg,1,6.1614,0.8732426862078547,,,,,,,,,,,,,0,6,6,15,,,,,,,,,,,45.69602208293509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.20144770911429077,45.48045349994209,None,45.48045349994209,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Fireworks 2.jpg,2,6.277,0.7624740227305116,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,46.41159370797686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.19786958396434784,46.20123704196885,None,46.20123704196885,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Cat 4.jpg,1,5.798,0.38306284120414025,,,,,,,,,,,,,0,8,8,18,,,,,,,,,,,47.152301249909215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.23034183296840638,46.913148124935105,None,46.913148124935105,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Baby 5.jpg,1,6.1553,0.5652809593512679,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,47.8853310829727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.21964670799206942,47.649800707935356,None,47.649800707935356,None,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
