nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,button_resp.stopped,text_8.started,key_resp_13.started,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Jail 2.jpg,2,1.9691,0.03865937602444702,0,0,0,0,0,0,0,0,,,,,0,7,7,4,,,,,,,,,65.40023790000123,65.90218470001128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.25105730001815,65.25105730001815,65.25105730001815,2,1,0.12291980002191849,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Horse 1.jpg,1,5.9469,0.7736589633910252,0,0,0,0,0,0,0,0,,,,,0,8,8,15,,,,,,,,,66.10051030002069,66.60285590001149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.90218470001128,65.90218470001128,65.90218470001128,2,0,0.17656590000842698,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Explosion 1.jpg,2,2.7061,0.44591947684325695,0,0,0,0,0,0,0,0,,,,,0,9,9,17,,,,,,,,,66.7504696000251,67.2658206000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.60285590001149,66.60285590001149,66.60285590001149,2,1,0.12307929998496547,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Toilet 4.jpg,2,2.4986,0.898260773201397,0,0,0,0,0,0,0,0,,,,,0,10,10,7,,,,,,,,,67.35056780002196,67.855188800022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2658206000051,67.2658206000051,67.2658206000051,2,1,0.05275800000526942,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Mother 5.jpg,1,5.9438,0.5672645993361737,0,0,0,0,0,0,0,0,,,,,0,11,11,14,,,,,,,,,68.03440450000926,68.54025090002688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.855188800022,67.855188800022,67.855188800022,2,0,0.15994000001228414,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Baby 6.jpg,1,6.0604,0.39030199076009964,0,0,0,0,0,0,0,0,,,,,0,12,12,5,,,,,,,,,68.63349720000406,69.13362280000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54025090002688,68.54025090002688,68.54025090002688,2,0,0.06623610001406632,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Explosion 4.jpg,2,2.4912,0.7212808895846713,0,0,0,0,0,0,0,0,,,,,0,13,13,18,,,,,,,,,69.2166062000033,69.71656749999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.13362280000001,69.13362280000001,69.13362280000001,2,1,0.06527639998239465,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Neonazi 1.jpg,1,2.0577,0.8848283844025013,0,0,0,0,0,0,0,0,,,,,0,14,14,6,,,,,,,,,69.76695160000236,70.26968310002121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.71656749999966,69.71656749999966,69.71656749999966,2,0,0.02604799999971874,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Fire 7.jpg,2,1.7007,0.6719101083569338,0,0,0,0,0,0,0,0,,,,,0,15,15,0,,,,,,,,,70.30073850002373,70.80242360002012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.26968310002121,70.26968310002121,70.26968310002121,2,1,0.00875039998209104,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Intensity 1.jpg,1,2.8252,0.36804645311705486,0,0,0,0,0,0,0,0,,,,,0,16,16,16,,,,,,,,,70.95143929999904,71.452243000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.80242360002012,70.80242360002012,70.80242360002012,2,0,0.11630090000107884,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Picnic 1.jpg,1,6.0998,0.10131694427212556,0,0,0,0,0,0,0,0,,,,,0,17,17,10,,,,,,,,,71.60015040001599,72.09993380002561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.452243000007,71.452243000007,71.452243000007,2,0,0.12308409999241121,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Massage 2.jpg,1,5.7288,0.7429463957737557,0,0,0,0,0,0,0,0,,,,,0,18,18,12,,,,,,,,,72.25061820002156,72.75266910000937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.09993380002561,72.09993380002561,72.09993380002561,2,0,0.12308709998615086,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Soldiers 7.jpg,1,2.5465,0.9977797084285572,0,0,0,0,0,0,0,0,,,,,0,19,19,2,,,,,,,,,72.9172663000063,73.41706610002439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75266910000937,72.75266910000937,72.75266910000937,2,0,0.13350319999153726,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.41706610002439,73.41706610002439,,,,,,,,
